TestCase,Variable,ExpectedValue,ActualValue,Status
1,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
1,IcuHdl_MeasureState_en[0],IcuHdl_LowPulseMeasure,IcuHdl_LowPulseMeasure,PASS
2,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
2,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
3,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
3,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
4,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
4,IcuHdl_MeasureState_en[0],IcuHdl_LowPulseMeasure,IcuHdl_LowPulseMeasure,PASS
5,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
5,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
6,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
6,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
7,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
7,IcuHdl_MeasureState_en[0],IcuHdl_LowPulseMeasure,IcuHdl_LowPulseMeasure,PASS
8,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
8,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
9,IcuHdl_MeasureTimeOutCnt_u8[0],2,2,PASS
9,IcuHdl_MeasureState_en[0],IcuHdl_HighPulseMeasure,IcuHdl_HighPulseMeasure,PASS
